2022-02-25 10:38:55 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:07 ERROR business-4-7 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:10 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:10 ERROR business-4-8 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:10 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:13 ERROR business-4-9 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:13 ERROR business-4-10 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:13 ERROR business-4-5 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:16 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:16 ERROR business-4-7 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:16 ERROR business-4-1 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:19 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:19 ERROR business-4-8 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:19 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:22 ERROR business-4-10 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:22 ERROR business-4-5 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:22 ERROR business-4-6 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:25 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:25 ERROR business-4-7 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:25 ERROR business-4-1 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:28 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:28 ERROR business-4-8 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:28 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:31 ERROR business-4-9 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:31 ERROR business-4-10 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:31 ERROR business-4-5 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:35 ERROR business-4-6 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:35 ERROR business-4-3 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:35 ERROR business-4-7 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:38 ERROR business-4-1 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:38 ERROR business-4-4 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:39:38 ERROR business-4-8 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64006 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:44:44 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64428 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
2022-02-25 10:50:43 ERROR business-4-2 c.w.a.s.h.ServerProcessHandler /127.0.0.1:64728 -> [异常]原因：java.lang.StringIndexOutOfBoundsException: begin 0, end -1, length 0
